sample_id,class,label,category,risk_level,entropy,file_size_kb,n_sections,avg_section_entropy,max_section_entropy,executable_sections,writable_sections,n_imports,n_exports,suspicious_api_count,has_resources,is_packed,has_digital_sig,has_overlay,vt_score,strings_suspicious,network_calls,registry_writes,file_creates,process_creates,mutex_creates,api_unique,code_section_size_kb,has_encryption_api,has_injection_api,has_persistence_api,has_network_api,has_anti_debug,byte_0x00_freq,byte_0xff_freq
BEN_00744,Benign,0,Clean,None,5.34,1.0,5,4.9698,5.7518,3,0,62.0359,29.3219,0.7888,1,0,1,0,0.006,0.0,0.7699,9.6671,0.0,2.7774,2.5273,19.9145,7.7353,0,0,0,1,0,0.1222,0.0
ADW_00083,Adware,7,Unwanted,Low,5.951,50.0,8,6.1987,5.7854,1,1,77.7656,25.2965,3.8188,1,0,0,0,14.3926,17.4217,18.5842,8.047,2.0,1.97,1.3776,20.8531,120.6419,0,0,1,0,0,0.1148,0.0321
RAN_00059,Ransomware,4,Extortion,Critical,6.639,50.0,7,7.7811,6.8,2,1,22.8613,0.6152,21.7933,1,1,0,0,38.2621,30.7848,13.0577,5.0,8.245,1.0,3.5215,60.8587,10.0,1,1,1,1,1,0.009,0.1144
BEN_00497,Benign,0,Clean,None,4.4944,1.0,7,5.3101,6.6549,2,0,69.5642,1.1631,1.0446,0,0,1,0,0.5656,0.6865,0.0,0.0,0.0,0.0,0.0,62.824,109.1551,0,0,0,0,0,0.3366,0.0281
RAN_00025,Ransomware,4,Extortion,Critical,7.002,50.0,3,6.9321,7.4771,2,3,41.7802,3.47,19.6703,1,0,0,0,55.4619,23.3416,29.6263,35.2255,5.0,3.7711,2.2868,44.4891,203.3088,1,0,1,1,1,0.0349,0.1345
BEN_01821,Benign,0,Clean,None,4.7724,1.0,6,4.9791,5.7592,1,0,51.4532,11.7464,0.0,1,0,1,0,1.1054,4.0267,0.0,3.8256,4.2992,0.7565,1.4665,50.7083,164.6058,0,0,0,0,0,0.2116,0.011
FIL_00014,Fileless,9,Memory-Based,Critical,7.1626,0.5,1,7.7593,6.8911,2,2,3.9376,0.0,16.6036,1,1,0,0,52.3452,41.502,5.868,25.902,0.0,1.0,4.8624,38.814,54.0513,1,1,1,1,1,0.0804,0.0932
TRO_00170,Trojan,2,Deceptive,Critical,6.0369,10.0,4,4.8767,5.5059,4,4,49.8642,7.5292,7.1509,1,1,1,0,46.2465,11.1532,4.5917,27.9732,19.7538,14.4979,0.5892,54.7632,66.9985,0,1,1,1,0,0.0397,0.0478
BEN_01559,Benign,0,Clean,None,4.1835,2.03,5,7.081,6.4201,2,2,33.1007,9.481,4.1783,1,0,1,0,0.526,2.7853,0.0,0.0,5.5128,3.0244,2.9338,94.4012,76.8894,0,0,0,0,0,0.0943,0.0091
BOT_00018,Botnet,12,C&C Controlled,Critical,5.3232,10.0,6,6.2337,7.0129,1,4,20.0942,5.5413,4.2919,0,0,0,1,51.7912,26.2736,40.7335,17.3303,0.0,6.5903,4.6174,18.5178,121.7811,1,1,0,1,1,0.0881,0.0367
PUP_00295,PUP,10,Unwanted,Low,4.4779,100.0,8,4.6892,5.3685,1,2,43.476,0.0,5.7677,1,1,1,0,6.9036,8.6542,17.5045,10.7969,13.2832,1.5923,1.1412,66.2341,20.0,1,0,0,1,0,0.1542,0.0096
BAC_00272,Backdoor,8,Remote Access,Critical,7.3462,5.0,7,6.9752,6.1705,2,4,41.6196,6.1887,12.5233,0,0,0,0,25.224,32.8002,19.7172,7.0045,5.1058,10.3886,6.674,55.5037,165.269,1,0,1,1,0,0.0716,0.074
BEN_00586,Benign,0,Clean,None,3.7957,1.0,5,3.2214,5.9849,1,0,51.4892,6.7485,2.1194,1,0,1,0,1.4008,0.5536,2.9466,0.0,0.0,0.0,0.0,32.903,22.4652,0,0,0,0,0,0.1797,0.0
RAN_00044,Ransomware,4,Extortion,Critical,7.4225,50.0,3,6.9102,7.6123,2,3,41.0913,1.003,5.0,0,1,0,0,32.7143,18.6198,35.9829,24.0175,24.092,6.3272,3.0404,63.8693,385.4953,1,0,1,1,0,0.0341,0.0731
BEN_00264,Benign,0,Clean,None,6.0728,1.18,4,6.1434,6.3279,1,2,58.4092,19.8644,3.7068,1,0,0,0,0.5185,1.4376,0.0,0.0,6.4986,0.1256,0.25,19.4537,166.122,0,0,0,1,0,0.0817,0.006
PUP_00098,PUP,10,Unwanted,Low,3.9353,100.0,4,5.4537,4.8863,3,3,52.1814,9.5962,5.1082,1,0,0,1,28.4407,20.4886,1.5031,17.632,9.9815,0.7204,0.3984,14.9689,431.8829,0,0,1,1,1,0.3125,0.0457
ADW_00058,Adware,7,Unwanted,Low,4.4748,50.0,6,5.3933,5.6465,3,3,76.2921,10.9797,2.7134,1,0,1,0,10.9399,11.8589,2.0,13.4475,26.374,3.8747,2.9892,75.1736,428.8488,0,0,1,1,0,0.1393,0.0269
RAN_00042,Ransomware,4,Extortion,Critical,7.8355,50.0,5,7.1989,7.4775,3,1,2.5501,0.0,18.7062,1,1,0,0,64.6914,27.4754,47.3891,12.7084,59.7758,3.8557,1.8097,32.1295,25.5884,1,1,1,1,1,0.0835,0.1487
BOT_00148,Botnet,12,C&C Controlled,Critical,6.4117,10.0,8,6.3329,7.4145,4,2,12.1529,0.0,11.776,1,0,0,0,30.9958,7.0,56.5341,8.5806,3.5477,6.7447,1.7916,40.0731,5.0,1,0,1,1,1,0.1089,0.0762
BEN_00829,Benign,0,Clean,None,4.9517,1.0,4,5.1894,5.5193,3,0,49.6026,0.0,0.0,1,0,1,0,0.0,6.367,0.0,4.5034,0.0,0.0,0.0,31.0302,133.8978,0,0,0,1,0,0.1652,0.0291
CRY_00103,Cryptominer,11,Resource Abuse,Medium,6.375,100.0,7,6.8443,6.4819,3,2,42.1542,0.0,2.0,0,0,0,0,12.8181,6.3549,33.4763,0.0,6.9315,3.0448,0.0,43.6684,516.2973,0,0,1,1,0,0.0524,0.0772
PUP_00172,PUP,10,Unwanted,Low,5.0858,100.0,3,4.4176,6.8844,2,1,39.1116,5.4967,5.6499,1,0,0,1,23.1914,9.0783,11.0555,6.2809,17.1815,4.3041,2.1508,38.0809,361.0646,0,0,1,1,0,0.1495,0.0102
BEN_00018,Benign,0,Clean,None,6.8118,1.0,6,4.3375,4.9526,3,2,59.0334,5.226,0.0,0,0,1,1,1.0041,7.0488,11.5265,7.7162,1.7029,0.238,0.0,27.4952,63.5834,0,0,0,1,0,0.1645,0.0045
BEN_01407,Benign,0,Clean,None,5.2533,1.78,6,3.6678,4.4573,1,0,31.1646,32.6908,2.6583,0,0,0,0,0.0,1.3548,6.1251,5.3559,12.3934,1.7508,0.0,7.704,36.2237,0,0,0,0,0,0.1924,0.0228
FIL_00110,Fileless,9,Memory-Based,Critical,7.4093,0.5,4,7.043,6.9129,3,2,5.7238,0.0,14.632,0,1,0,0,35.0749,40.1287,28.6383,11.6848,0.0,14.5268,4.244,5.0,30.0106,1,1,1,1,1,0.021,0.0
BEN_01560,Benign,0,Clean,None,4.9165,1.0,3,2.7888,5.4789,3,2,1.0,0.0,1.4682,1,0,1,0,0.494,2.5786,3.3259,0.0,11.2157,0.0,0.0,61.4693,80.6411,0,0,0,1,0,0.2142,0.0529
RAN_00438,Ransomware,4,Extortion,Critical,7.9479,50.0,8,6.9614,7.3717,4,4,17.0401,3.4348,14.9559,1,0,0,0,48.3085,53.1244,25.158,38.9914,60.3226,2.3844,0.832,29.1786,10.0,1,0,1,0,1,0.0,0.0554
FIL_00240,Fileless,9,Memory-Based,Critical,7.7865,0.5,3,6.9365,7.4981,3,1,5.4228,3.3371,17.1566,0,1,0,0,27.1482,19.1691,28.9196,20.4155,0.4016,12.4413,3.0952,37.2168,15.1288,1,1,0,1,1,0.059,0.073
RAN_00193,Ransomware,4,Extortion,Critical,7.9049,50.0,8,7.4222,7.4468,2,3,17.8647,8.2944,5.0,0,0,0,1,63.7509,47.6434,29.1197,14.1362,34.8263,8.7109,3.8073,34.3796,253.2703,1,0,1,0,1,0.0,0.0161
BAC_00289,Backdoor,8,Remote Access,Critical,4.5,5.0,5,7.1075,7.0279,4,2,39.6609,0.94,10.6355,0,0,1,1,67.2046,27.4861,39.3391,8.5803,0.0,3.5854,4.5374,41.3426,100.9383,1,1,1,1,1,0.1482,0.0225
BEN_01653,Benign,0,Clean,None,5.6288,3.64,3,5.3341,5.445,3,1,19.2914,6.2884,0.0,1,0,0,0,0.9385,2.4475,0.829,0.0,4.0073,0.6748,0.7471,44.6817,113.2638,0,0,0,0,0,0.0767,0.0021
TRO_00255,Trojan,2,Deceptive,Critical,7.99,15.35,4,6.5095,5.9655,3,1,2.0,12.2415,9.4966,1,1,0,1,32.7647,25.9929,3.0875,15.655,12.6755,0.0,3.2256,51.8457,206.2471,1,1,1,1,1,0.2037,0.0
BOT_00021,Botnet,12,C&C Controlled,Critical,7.6238,10.0,7,5.6355,7.4896,1,2,65.5969,8.1999,6.7389,0,1,0,1,39.6877,29.2879,43.7825,26.3506,9.7965,7.6898,1.0,52.728,223.7731,1,1,1,1,1,0.0402,0.0472
BEN_00504,Benign,0,Clean,None,5.1146,1.39,3,4.9334,6.2429,2,0,84.5796,6.5607,0.0,1,0,1,0,0.0,8.9386,1.994,0.4815,0.0,1.7898,0.0,29.0049,76.8451,1,0,0,1,0,0.2149,0.0
SPY_00175,Spyware,6,Surveillance,High,7.2335,10.0,3,4.9481,6.8272,4,1,6.9283,2.7596,17.1073,0,0,0,0,39.2979,20.0325,30.0303,24.7817,9.6961,9.8466,4.8974,42.0038,111.6006,1,1,1,1,1,0.0246,0.051
BEN_00539,Benign,0,Clean,None,5.1358,2.15,3,5.2208,7.1699,1,0,7.6746,0.6866,0.0,1,0,0,0,0.3327,1.0703,0.6967,12.3205,4.5665,3.6173,1.8927,56.3111,27.8287,0,0,0,1,0,0.1349,0.0039
BEN_00469,Benign,0,Clean,None,5.2852,1.0,3,6.0603,4.6402,2,0,34.3061,0.0,2.1418,1,0,1,0,1.1719,5.7517,3.1761,5.0068,5.9118,0.4075,0.9179,31.922,131.3441,0,0,0,0,1,0.1166,0.0183
PUP_00074,PUP,10,Unwanted,Low,4.4633,100.0,4,5.6342,6.0448,3,2,74.7973,11.4307,6.8368,1,0,1,0,2.0,7.7122,9.5076,3.0014,24.9608,2.9132,0.2464,11.561,84.8387,0,0,1,1,0,0.202,0.0514
BEN_00477,Benign,0,Clean,None,4.4808,1.0,5,4.7038,6.4959,2,0,11.2589,18.5281,0.5649,0,0,1,0,0.0,2.571,3.1102,0.0,5.0579,2.2963,0.0,32.221,117.3909,0,0,0,0,0,0.1082,0.0
TRO_00006,Trojan,2,Deceptive,Critical,5.9955,10.0,7,5.9701,7.4703,4,2,58.711,0.0,3.0,1,1,0,1,18.0,26.6164,2.0,23.8682,22.2745,11.4583,5.9481,110.3176,143.0054,1,0,1,0,1,0.1255,0.0371
ADW_00119,Adware,7,Unwanted,Low,5.0775,50.0,5,5.2686,6.5586,3,2,99.1551,6.2063,6.1287,0,0,0,0,23.4253,10.6693,5.5536,17.553,21.4768,5.3636,3.5758,57.4927,45.7042,0,1,1,1,0,0.1151,0.0404
VIR_00346,Virus,1,Infector,High,7.131,1.0,4,6.8472,7.3609,3,4,7.7121,0.8372,8.7329,0,1,0,1,33.7601,28.471,9.4605,11.5631,45.7652,1.5351,1.1849,44.8284,67.5064,0,0,1,1,1,0.0785,0.0224
BEN_01624,Benign,0,Clean,None,4.4339,3.06,3,5.9242,5.5568,2,0,63.666,0.0,3.1402,1,0,0,0,0.7912,0.5496,1.8584,0.0,5.4811,1.6222,0.0,14.2142,25.3629,1,0,0,1,0,0.2402,0.0334
BEN_00707,Benign,0,Clean,None,3.5986,1.0,6,4.5043,5.7133,1,2,54.4829,28.4686,2.042,0,0,0,0,1.4975,2.2148,0.0,17.7503,4.3695,1.5947,0.0,83.9424,32.4048,0,0,0,0,0,0.0638,0.0333
FIL_00028,Fileless,9,Memory-Based,Critical,7.2742,0.5,1,7.1286,6.9016,3,2,14.7919,4.9099,12.9039,0,1,0,0,23.8083,21.9375,8.7202,39.3314,1.1472,6.6027,3.2214,38.351,10.4096,1,1,1,1,1,0.0591,0.0
BEN_00335,Benign,0,Clean,None,5.7084,1.0,7,5.6279,6.9225,3,2,28.6743,16.1914,1.7504,1,0,1,0,0.723,6.5582,4.2587,13.8843,4.6639,0.7537,3.8503,36.8157,20.8118,0,0,0,1,0,0.2868,0.0
TRO_00010,Trojan,2,Deceptive,Critical,6.5675,13.05,5,5.323,7.4437,2,4,31.4604,0.0,7.2332,1,1,0,0,41.3162,23.4125,2.0,12.4235,0.0,2.4164,6.6824,73.4121,5.0,1,1,0,1,1,0.0296,0.0676
BEN_00097,Benign,0,Clean,None,4.2042,1.05,7,5.4742,6.687,2,0,75.8308,9.8034,0.0,0,0,1,0,2.2094,4.7463,6.2935,1.651,17.0037,0.3996,1.6735,32.2464,39.5916,0,0,0,0,0,0.1471,0.016
CRY_00059,Cryptominer,11,Resource Abuse,Medium,6.0397,100.0,6,4.6937,6.586,3,1,14.3535,7.1452,5.1,1,0,1,1,25.7658,14.8033,25.0127,7.8831,2.9268,1.9178,0.7764,79.8567,716.0613,1,0,1,0,1,0.0384,0.0153
BEN_00834,Benign,0,Clean,None,6.4846,1.0,3,5.7202,4.9309,1,2,15.7549,0.0,0.0,1,0,1,0,1.0992,2.9398,0.0,0.0,1.7932,0.6214,0.0,25.7229,97.8412,0,0,0,1,0,0.1821,0.0544
ADW_00076,Adware,7,Unwanted,Low,5.0588,50.0,6,6.1617,7.2092,1,1,54.2324,6.7426,4.2045,1,0,1,1,14.0106,26.255,10.6227,14.5159,2.0,4.4523,1.6819,65.1249,265.0824,0,1,1,1,1,0.1946,0.0641
BEN_01508,Benign,0,Clean,None,5.2953,1.28,6,4.4907,6.602,2,0,62.4062,3.1254,0.0,1,0,0,0,0.5425,0.3523,3.0469,3.6487,12.3639,0.6445,2.6022,33.7329,198.0393,0,0,0,0,0,0.1451,0.0
SPY_00319,Spyware,6,Surveillance,High,5.4724,10.0,4,5.4479,6.7755,2,2,65.6523,2.4499,20.1812,1,0,0,0,52.3642,24.652,13.6282,16.9425,17.8286,7.3361,2.3861,55.015,68.8341,0,1,1,1,1,0.0,0.0
WOR_00191,Worm,3,Self-Replicating,Critical,5.9024,7.06,5,5.179,6.1462,1,2,42.5601,2.6912,10.999,0,0,0,1,30.2966,18.3471,35.0637,17.831,7.9006,6.4611,6.1263,38.3675,30.5883,0,0,1,1,1,0.085,0.048
BAC_00279,Backdoor,8,Remote Access,Critical,6.5855,5.0,3,6.9888,6.7374,1,2,26.3099,2.8325,12.7198,1,1,0,1,38.2871,28.4955,56.0383,6.6489,2.631,3.7155,3.7039,26.8382,145.2342,0,1,1,1,1,0.0127,0.0849
ADW_00307,Adware,7,Unwanted,Low,4.413,50.0,5,3.7165,6.2833,3,2,95.9358,4.424,5.1934,1,0,0,0,39.5942,10.2415,2.0,12.56,17.2476,4.3655,3.4216,91.9557,388.9236,0,1,1,0,0,0.1609,0.046
ROO_00022,Rootkit,5,Stealth,Critical,6.6227,2.0,4,4.3919,6.7651,4,3,30.4445,0.0,19.1374,0,1,0,0,24.5532,14.5507,13.1728,9.5217,10.9193,2.8282,2.4822,29.6724,44.5995,0,1,1,1,1,0.116,0.0091
FIL_00147,Fileless,9,Memory-Based,Critical,6.8665,0.89,2,6.7061,6.998,2,2,6.5248,3.5676,17.7861,0,1,0,0,12.0466,33.0651,11.8578,12.1892,2.7846,16.2665,2.4476,29.1597,0.5,0,1,1,0,1,0.0554,0.1261
TRO_00087,Trojan,2,Deceptive,Critical,4.7896,10.0,8,5.0883,5.8426,3,3,15.9737,1.8275,5.484,0,0,0,1,18.0,31.164,23.0526,21.3575,8.4883,8.3991,4.6177,8.0,5.0,0,1,1,0,1,0.0245,0.042
BEN_01872,Benign,0,Clean,None,4.4044,1.45,7,4.3976,6.9056,1,2,57.211,0.0,2.2906,0,0,0,0,2.2451,0.9928,8.5334,7.7638,1.2207,0.8906,6.8318,45.4431,167.1771,0,0,0,1,0,0.106,0.0065
ADW_00077,Adware,7,Unwanted,Low,4.8911,50.0,3,4.054,5.6446,3,2,60.1166,0.0,6.8773,0,0,1,0,13.4389,21.0098,2.0,3.7275,15.5776,5.0395,3.2635,52.1017,10.0,1,1,1,1,0,0.076,0.0221
BOT_00210,Botnet,12,C&C Controlled,Critical,6.1642,10.0,8,5.3145,6.6272,2,2,26.1424,0.0,9.0791,0,1,0,0,31.0809,9.4491,27.5471,24.7095,18.3764,1.0,7.2746,23.1883,91.242,1,0,1,1,1,0.04,0.058
BEN_01245,Benign,0,Clean,None,6.8211,1.0,7,3.6787,7.5,2,2,71.6799,30.5952,2.4823,1,0,0,0,0.0,3.7043,7.7278,0.0,0.698,0.0,0.0,48.2008,28.05,0,0,0,1,0,0.2906,0.004
ADW_00038,Adware,7,Unwanted,Low,7.0179,50.0,4,6.1225,6.7395,1,3,44.6304,0.0,4.8862,1,0,0,1,12.694,29.4943,40.3929,26.6455,7.9838,3.288,0.5768,96.1281,457.704,0,0,0,1,1,0.2346,0.0189
BEN_00466,Benign,0,Clean,None,5.9307,1.0,3,5.261,4.467,2,2,16.03,2.572,1.3873,0,0,1,1,0.2113,6.5786,5.07,11.8711,0.0,1.276,1.3105,47.0218,162.5739,0,0,0,0,0,0.1631,0.0139
ROO_00110,Rootkit,5,Stealth,Critical,6.863,2.0,3,5.7278,7.5419,3,1,10.111,7.8381,8.5599,0,0,0,0,10.0,15.6888,2.736,2.0,9.749,0.1551,3.7258,25.0156,136.632,1,1,1,0,1,0.0777,0.0617
CRY_00015,Cryptominer,11,Resource Abuse,Medium,7.3031,100.0,5,6.2898,6.5053,3,1,26.058,12.2386,9.0554,1,1,1,0,29.148,24.7828,13.9917,9.4319,3.2106,8.3352,0.0,48.8803,525.7077,0,1,1,1,1,0.0682,0.0287
PUP_00272,PUP,10,Unwanted,Low,6.9523,100.0,7,4.0768,6.0387,1,1,51.0774,31.6415,2.3172,0,0,1,0,11.7744,9.2032,1.0,0.0,4.6119,0.3918,1.41,102.0337,481.2965,1,0,1,1,0,0.1396,0.0571
SPY_00253,Spyware,6,Surveillance,High,7.8,10.0,4,3.7772,6.166,1,1,26.581,3.9259,19.5614,0,1,0,0,37.4149,11.6124,27.5496,7.3116,5.2223,5.701,3.1619,23.1573,220.2482,1,0,1,1,1,0.0997,0.1033
VIR_00155,Virus,1,Infector,High,7.7619,1.0,10,6.9394,6.5655,2,3,21.9129,6.4043,15.232,1,1,0,0,40.684,14.7514,0.0,0.0,37.1817,0.0,0.6534,36.8228,84.8883,1,1,1,1,0,0.0601,0.1214
