sample_id,class,label,entropy,file_size_kb,n_sections,avg_section_entropy,max_section_entropy,executable_sections,writable_sections,n_imports,n_exports,suspicious_api_count,has_resources,is_packed,has_digital_sig,has_overlay,vt_score,strings_suspicious,network_calls,registry_writes,file_creates,process_creates,mutex_creates,api_unique,code_section_size_kb,has_encryption_api,has_injection_api,has_persistence_api,has_network_api,has_anti_debug,byte_0x00_freq,byte_0xff_freq,entropy_x_packed,inject_persist_score,network_intensity,section_risk,obfuscation_score
BEN_01657,Benign,0,3.6475,10.0,6,2.121,3.7257,1,1,135.6497,4.5773,0.0,1,0,0,0,0.4897,7.7493,3.4664,4.5423,11.0453,1.4371,0.0,92.2617,110.4603,0,0,0,0,0,0.3593,0.0,0.0,0,0.037571386610045124,1,1
VIR_00058,Virus,4,7.3137,5.0,10,6.4309,6.5,2,3,18.3175,3.2734,14.3273,0,0,0,0,27.4744,20.6314,0.0,11.7107,38.4941,4.3845,0.6119,21.9276,58.2548,0,1,1,0,1,0.0617,0.002,0.0,3,0.0,6,2
BEN_04399,Benign,0,4.4135,10.0,3,3.8896,6.0387,1,0,110.4349,0.0,0.1003,1,0,1,0,0.5027,4.3784,0.0,0.0,8.4091,0.7468,0.5145,76.8155,212.78,0,0,1,0,1,0.1136,0.0402,0.0,2,0.0,0,0
BEN_02821,Benign,0,4.4949,10.0,6,4.3336,4.696,2,1,37.6867,2.078,0.6751,1,0,1,0,0.7708,0.0,4.0281,0.0,3.6458,0.0523,0.9764,70.3201,110.3076,0,0,0,1,0,0.1133,0.0378,0.0,0,0.05728234174866077,2,0
RAN_00177,Ransomware,1,7.4006,50.0,4,7.2395,7.7678,3,4,45.036,0.0,25.215,0,1,0,0,59.3991,21.0488,24.2285,34.1752,15.0,5.1032,0.0,78.7561,281.5224,1,1,1,1,1,0.0325,0.1092,7.4006,3,0.30763966219759487,12,3
BEN_02261,Benign,0,3.499,10.0,4,3.9388,4.7946,1,1,26.7111,30.7967,0.3775,1,0,0,0,0.0,1.4089,0.1639,13.0081,3.7729,0.2896,0.5259,66.8422,151.5946,0,0,0,1,0,0.151,0.0338,0.0,0,0.002452043768756863,1,1
BEN_01444,Benign,0,5.0375,10.0,3,4.5829,6.5,1,2,45.1572,6.2094,0.0,1,0,1,0,0.4438,0.0,5.8262,14.5581,10.2035,0.0,0.348,63.3351,106.8272,0,0,0,1,0,0.05,0.0139,0.0,0,0.09199006554027704,2,0
BEN_03911,Benign,0,3.0917,10.0,3,2.8506,3.6665,2,0,99.9866,11.0732,0.048,1,0,1,0,0.0,2.6645,1.3095,5.1346,0.0,0.0,1.5736,38.6467,21.6766,0,0,0,1,0,0.05,0.023,0.0,0,0.033883876242990996,0,0
BEN_00180,Benign,0,5.0783,10.0,5,3.0237,5.8436,2,0,69.911,17.6164,1.0348,1,0,1,0,0.7084,1.3024,9.6066,1.4908,8.5969,0.0,1.2922,86.4837,174.8998,0,0,1,1,0,0.2364,0.021,0.0,1,0.11107989135524961,0,0
BEN_02389,Benign,0,5.169,10.0,3,4.3921,4.2747,1,1,51.8003,0.0,0.7999,1,0,0,0,0.3394,1.0198,3.4634,0.0,7.8296,1.013,0.0,20.0215,41.6484,0,0,0,1,0,0.05,0.014,0.0,0,0.17298404215468371,1,1
BEN_00539,Benign,0,4.1088,10.0,3,5.1735,3.7915,2,2,71.5476,18.6714,1.7304,1,0,1,0,0.3987,0.0,0.0,3.9174,0.0,0.0,0.9094,46.6688,66.7758,1,0,0,1,0,0.2224,0.0017,0.0,0,0.0,4,0
BEN_03576,Benign,0,4.1365,10.0,4,4.0084,5.5,1,1,77.1584,1.6908,0.0837,0,0,1,0,0.2639,0.005,0.0,2.1474,7.7142,0.0616,0.0,81.5093,49.8362,0,0,0,0,0,0.1367,0.0137,0.0,0,0.0,1,0
BEN_01048,Benign,0,4.4689,10.0,6,3.4799,4.8358,2,1,61.9263,0.0,1.1405,1,0,0,0,0.8331,0.0,0.0,5.4341,8.8169,1.8566,1.9584,25.1593,137.0436,0,0,1,1,0,0.2146,0.0315,0.0,1,0.0,2,1
BEN_02634,Benign,0,4.8289,10.0,6,4.1525,5.5298,2,1,47.1334,19.9077,0.0,1,0,1,0,0.6477,0.0,9.0315,3.659,0.0,0.0,0.0,46.1797,111.0069,0,0,0,1,0,0.1818,0.0311,0.0,0,0.1955729465544384,2,0
VIR_00092,Virus,4,6.3924,5.0,7,6.538,6.5,5,1,23.5748,4.0343,7.5198,0,0,0,1,42.2799,36.5055,2.858,1.0,11.9084,5.5698,5.1209,43.8538,93.6152,0,1,1,0,0,0.158,0.0274,0.0,2,0.06517109121672467,5,1
BEN_03946,Benign,0,4.8033,13.31,5,5.013,5.4649,2,0,96.0611,33.6276,0.0,1,0,1,0,0.8671,0.8049,2.0848,7.5809,0.0,0.2009,0.796,77.7332,42.3606,0,0,0,0,0,0.2571,0.0,0.0,0,0.02681994308738094,0,0
VIR_00044,Virus,4,7.2482,5.0,7,6.3099,6.9526,2,3,59.6091,0.0,5.2732,0,1,0,0,43.797,16.0,6.7064,17.0313,15.8172,2.1868,1.5593,37.2365,20.7881,1,1,1,1,1,0.0543,0.0495,7.2482,3,0.18010285606864235,6,3
BEN_00799,Benign,0,4.6707,10.0,5,5.4984,3.841,1,2,24.4661,11.068,1.6105,1,0,1,0,0.0,1.3181,0.0,0.9005,0.0,0.0,0.8469,69.3707,159.2206,0,0,0,0,0,0.116,0.0145,0.0,0,0.0,2,0
BEN_00133,Benign,0,4.3638,10.0,5,5.0546,4.2986,2,2,73.7145,0.0,0.0,1,0,1,0,1.2388,3.564,6.1655,7.56,18.0447,0.0,0.7236,11.1479,32.3915,0,0,0,0,0,0.0679,0.0041,0.0,0,0.5530638057391974,4,0
BEN_00170,Benign,0,3.8046,10.0,4,4.9383,4.368,1,0,60.8704,0.0,0.0,1,0,1,0,0.0,3.1348,5.7685,3.7687,21.4877,0.4019,1.3314,53.8037,92.9354,1,0,0,0,0,0.2296,0.0,0.0,0,0.10721381615019042,0,0
BEN_04864,Benign,0,4.3351,10.0,4,3.0243,4.8984,2,1,84.3108,17.9905,0.0,1,0,1,0,0.0733,2.5783,6.8338,0.0,0.0,1.7151,0.0,34.2326,192.5548,0,0,0,0,0,0.2092,0.0352,0.0,0,0.19962842436741587,2,0
VIR_00293,Virus,4,6.1669,5.0,5,6.4089,7.99,5,3,19.5653,0.0,9.0161,0,1,0,0,55.1591,17.7365,4.442,20.868,14.0864,0.0,3.8722,15.4362,57.4361,0,1,1,0,0,0.035,0.0866,6.1669,2,0.28776512354076783,15,2
BEN_02302,Benign,0,4.5672,10.0,5,4.2905,4.8808,2,0,54.4057,14.4634,0.0,1,0,0,0,0.0,1.1691,0.4145,0.0,10.6748,1.5828,1.0146,35.7831,180.0125,0,0,0,0,0,0.1949,0.0154,0.0,0,0.01158368056428873,0,1
BEN_02255,Benign,0,3.3994,10.0,3,3.4892,4.2281,2,1,44.8979,19.8687,0.0,1,0,1,0,0.3489,0.0,0.2997,0.0,5.5506,1.2998,1.7395,75.6452,36.0516,0,0,0,0,0,0.05,0.0,0.0,0,0.003961916949125655,2,0
BEN_03949,Benign,0,4.1576,10.0,6,4.4786,5.1138,2,1,20.4518,32.7414,2.1332,1,0,1,0,0.7044,0.7159,7.658,0.0,18.9938,3.2086,1.7344,77.3509,144.5531,0,0,0,0,0,0.05,0.0196,0.0,0,0.09900337294071564,2,0
BEN_02178,Benign,0,3.78,10.0,6,3.5844,4.7556,2,2,88.384,0.0,0.0,1,0,0,0,0.5436,0.0,5.2218,5.6348,2.5271,0.54,0.9795,75.485,159.7848,0,0,0,1,0,0.0823,0.0064,0.0,0,0.06917665761409551,4,1
ADW_00270,Adware,3,4.4857,100.0,5,6.5655,6.8348,1,2,111.6826,7.8476,6.6219,1,0,1,1,15.2207,16.5817,22.8876,21.1878,2.0,1.9764,0.0,55.3667,447.7172,0,1,1,1,0,0.191,0.0089,0.0,2,0.41338205094397895,2,0
BEN_02440,Benign,0,4.515,10.0,6,4.2592,5.3231,2,1,30.3608,39.9144,2.0205,0,0,1,0,0.1524,2.4857,3.3496,4.331,0.0,1.5913,2.022,45.4092,21.7149,0,0,0,0,0,0.2057,0.0394,0.0,0,0.07376478775226167,2,0
BEN_04535,Benign,0,3.2916,10.0,5,4.1289,5.5857,1,1,79.6742,4.7876,1.1287,1,0,1,0,0.3457,0.0,0.0,7.5845,14.8191,1.2223,0.1063,52.5064,167.3594,0,0,1,1,0,0.2706,0.0371,0.0,1,0.0,1,0
BEN_04516,Benign,0,5.4946,10.0,6,4.0961,6.0631,2,2,69.7559,10.9456,0.0,1,0,1,0,0.0,2.3059,0.0,8.3925,0.0,2.1554,0.8383,49.1368,113.3954,0,0,0,1,0,0.0906,0.0,0.0,0,0.0,4,0
BEN_01666,Benign,0,5.6502,10.0,5,5.395,4.2405,1,1,31.0816,46.2312,0.3215,1,0,1,0,0.6568,0.0297,8.613,0.0,0.0,0.0,1.0112,30.4551,124.6743,0,0,0,0,0,0.2753,0.0253,0.0,0,0.28280977570259164,1,0
BEN_00643,Benign,0,4.495,10.0,3,4.4643,4.8248,2,0,108.1942,0.0,0.1079,1,0,0,0,0.1699,0.0,3.3739,1.322,0.0,1.0642,1.4669,59.1232,168.8388,0,0,0,0,0,0.2593,0.0313,0.0,0,0.057065585083351376,0,1
BEN_01883,Benign,0,4.477,10.0,5,4.1537,5.5143,1,2,5.0,5.555,0.0,0,0,1,0,0.0,0.8357,3.0365,4.4242,11.56,0.2068,2.1234,46.2511,88.1492,0,0,0,0,0,0.1906,0.0291,0.0,0,0.06565249258936544,2,0
BEN_01408,Benign,0,4.4214,10.0,5,4.4475,6.5,1,0,34.7824,1.0126,0.1158,1,0,1,0,0.0,1.971,7.2391,2.2805,19.2519,2.7155,1.7453,43.2797,141.5163,0,0,0,1,0,0.1332,0.011,0.0,0,0.16726317419020925,0,0
BEN_03232,Benign,0,4.3889,10.0,3,3.7883,5.1419,2,0,96.7225,29.6357,1.7626,1,0,0,0,0.0,0.0,7.3117,0.0,3.4058,1.4765,2.9904,75.2142,74.839,0,0,0,0,0,0.2894,0.0114,0.0,0,0.09721169672747965,0,1
BEN_02719,Benign,0,5.2741,10.0,6,3.9266,5.3715,1,1,82.0989,0.0,1.9314,1,0,1,0,0.3447,0.7428,0.0,7.5367,0.0,0.6158,0.2192,67.5426,146.4024,0,0,0,1,0,0.2218,0.0358,0.0,0,0.0,1,0
TRO_00235,Trojan,2,7.8,20.0,6,6.9038,7.5738,1,1,41.3684,1.7085,11.1333,1,0,0,0,49.415,31.6479,5.0,14.6643,16.9743,3.4916,2.7351,35.1905,215.899,1,0,1,1,1,0.1705,0.0215,0.0,2,0.14208380102584503,1,2
BEN_02500,Benign,0,2.0677,10.0,3,5.2377,5.0262,1,0,49.4498,20.7785,0.0,1,0,0,0,0.0601,0.0,6.1327,7.3002,18.9824,1.8596,0.3062,28.7674,6.74,0,0,0,1,0,0.05,0.0417,0.0,0,0.2131822827228043,0,1
BEN_02583,Benign,0,4.0973,10.0,6,4.7065,5.2128,1,1,5.0527,27.1904,0.8956,1,0,1,0,0.5097,0.0,6.679,2.3335,0.0,1.0131,0.0,59.476,98.7639,0,0,0,0,0,0.1766,0.0,0.0,0,0.11229739726948686,1,0
RAN_00120,Ransomware,1,7.3415,50.0,4,6.543,7.3351,4,3,11.8203,0.0,27.2472,0,1,0,0,61.2317,37.1114,12.7115,20.2933,35.113,5.9888,2.3813,35.624,333.0126,1,0,1,1,0,0.0797,0.0806,7.3415,1,0.3568240512014372,12,3
BEN_03479,Benign,0,5.4616,10.0,6,5.798,5.4,2,2,30.6334,6.2862,0.0,1,0,1,0,0.3428,0.0,7.1606,0.0,12.0929,0.0,2.9164,71.9705,175.075,0,0,1,0,0,0.0535,0.016,0.0,1,0.09949354249310481,4,0
BEN_04317,Benign,0,3.7015,10.0,5,4.6089,4.8539,2,2,55.2849,27.9851,0.7883,1,0,1,0,0.4328,2.3774,12.1199,12.9612,0.0,2.2472,1.4249,20.4639,75.3996,0,0,0,0,0,0.1251,0.0153,0.0,0,0.5922575853087633,4,0
BEN_00473,Benign,0,4.3561,10.0,5,4.0229,5.5434,1,1,72.3153,0.0,0.5193,1,0,1,0,0.5483,0.0,8.9283,0.0,14.0414,1.0411,0.4779,10.8367,151.8854,0,0,0,0,0,0.0853,0.0271,0.0,0,0.8238947280998827,1,0
BEN_01176,Benign,0,5.3079,10.0,3,3.4828,3.8489,2,1,62.0943,8.4299,0.0,1,0,1,0,0.5927,1.7564,2.528,10.7568,14.0316,0.8357,0.0,23.3668,64.1831,0,0,0,0,0,0.2504,0.0339,0.0,0,0.10818768509166851,2,0
BEN_00102,Benign,0,4.5281,10.0,4,5.6086,5.819,1,0,117.1882,39.586,2.2688,1,0,1,0,0.0,0.587,5.8024,0.0,6.1294,1.6185,1.824,72.2952,247.7898,0,0,0,0,0,0.3566,0.0151,0.0,0,0.08025982361207937,0,0
BEN_03719,Benign,0,3.0969,10.0,6,3.0657,5.6551,2,2,5.0,20.2478,0.0,1,0,0,0,0.6258,0.0,0.0,0.0,0.0,0.0,0.0,30.5316,274.8924,1,0,0,1,0,0.1549,0.0447,0.0,0,0.0,4,1
BEN_02285,Benign,0,4.5679,10.0,5,4.0669,4.6493,1,2,63.8289,20.2128,2.2023,1,0,1,0,0.2674,5.1042,7.0503,0.0,5.2299,0.0,3.2954,59.2144,14.4356,0,0,0,1,0,0.1632,0.0095,0.0,0,0.1190639439055365,2,0
BEN_00586,Benign,0,4.8349,10.0,6,5.1407,5.723,2,2,26.873,4.8182,2.5291,1,0,1,0,0.0,0.2672,0.4968,15.8527,0.5612,0.8968,0.0812,64.9797,194.8542,1,0,0,0,0,0.3244,0.0,0.0,0,0.007645464660501666,4,0
RAN_00399,Ransomware,1,7.919,50.0,3,7.5623,7.6287,4,4,24.5639,1.3433,15.553,0,1,1,0,43.9833,24.7543,24.2081,28.1809,29.0992,10.7568,2.7412,18.9992,158.4849,1,0,1,1,0,0.0702,0.1259,7.919,1,1.2741641753336985,16,2
BEN_03194,Benign,0,3.3527,10.0,5,4.419,4.0727,1,1,60.7472,0.0,0.9677,1,0,1,0,0.0,3.5225,0.0,6.0501,7.8727,1.6046,2.0373,39.8648,32.5345,0,0,0,1,0,0.2935,0.0207,0.0,0,0.0,1,0
BEN_02651,Benign,0,3.7694,10.0,5,4.4728,4.1505,2,0,38.8955,19.503,0.6656,0,0,0,0,0.0,0.0,1.0835,10.1708,12.865,0.6635,0.0,67.5175,5.0,0,0,0,0,0,0.282,0.0,0.0,0,0.016047691339282407,0,1
BEN_03130,Benign,0,4.676,10.0,3,4.9201,5.0892,2,0,44.6683,23.6785,0.7101,1,0,1,0,1.0317,1.186,8.1879,0.0,0.0,0.9388,3.1624,32.5579,112.0964,0,0,0,1,0,0.1489,0.0,0.0,0,0.25148735022836244,0,0
BEN_03429,Benign,0,4.7834,10.0,4,4.9939,4.9927,1,0,45.2934,23.9464,1.1193,1,0,1,0,0.0,1.506,4.5305,0.0,13.1553,0.0,1.9068,55.271,141.6548,0,0,0,0,0,0.2101,0.0,0.0,0,0.081968844421125,0,0
BEN_04507,Benign,0,4.7065,10.0,4,4.4646,4.7582,1,2,148.2942,58.7141,0.1658,1,0,0,0,0.9118,0.0,8.9263,8.183,14.845,0.0,0.0,105.6199,66.5906,0,0,0,0,0,0.1363,0.008,0.0,0,0.08451342976086892,2,1
VIR_00084,Virus,4,7.4437,5.0,9,6.1052,7.8977,2,1,11.7275,0.0,7.1112,0,0,0,1,28.3031,8.0,7.7573,5.993,36.0079,5.7752,2.8794,21.2803,116.7895,0,1,1,0,0,0.0625,0.0545,0.0,2,0.3645296353904785,2,2
BEN_02973,Benign,0,3.7699,10.0,6,4.1321,4.6086,2,0,123.1488,0.0,0.3986,1,0,1,0,0.1682,0.4461,6.8429,4.0808,2.1236,0.7846,2.986,82.3641,5.0,0,0,0,1,0,0.2006,0.0144,0.0,0,0.08308109965385406,0,0
TRO_00007,Trojan,2,7.4506,20.0,3,5.6302,7.6515,1,1,10.754,0.0343,16.8745,1,0,0,0,30.4294,24.7518,33.5541,29.3569,2.0,7.3438,4.0999,59.679,153.9475,1,1,1,1,1,0.0222,0.0094,0.0,3,0.5622430000502688,1,2
BEN_00933,Benign,0,4.3064,10.0,4,4.7244,5.2429,2,2,87.4308,0.0,0.0,1,0,1,0,0.0,1.3665,0.5338,6.4292,0.7449,0.0,0.0,112.3761,107.844,1,0,0,1,0,0.1631,0.0301,0.0,0,0.004750120354772946,4,0
VIR_00045,Virus,4,7.5168,5.0,4,5.7043,6.6344,3,4,1.0,0.0,16.4151,1,0,0,1,47.2204,14.1652,6.9952,5.1701,36.6223,1.4337,3.2965,37.938,3.0,0,1,0,0,1,0.1251,0.0603,0.0,2,0.18438504929094837,12,2
TRO_00407,Trojan,2,7.4218,20.0,6,7.5,6.823,4,4,51.3231,2.2379,5.1921,1,1,1,0,40.2337,13.2286,23.9476,8.4153,6.3306,7.4548,3.673,41.1169,93.1362,0,1,1,1,0,0.169,0.0348,7.4218,2,0.582427177146137,16,2
BEN_04817,Benign,0,4.4873,10.0,5,4.6095,5.9719,2,2,87.3915,3.4526,1.1933,1,0,1,0,0.185,5.3232,4.437,0.0,2.0937,0.1484,0.7286,50.3601,68.7433,0,0,0,1,0,0.1877,0.0091,0.0,0,0.08810546444506663,4,0
BEN_00922,Benign,0,5.1108,10.0,4,4.1834,6.0131,2,2,6.4858,32.7635,3.0,0,0,1,1,0.0884,0.3636,3.6364,0.0,0.0,0.7429,1.0143,20.411,70.6194,0,0,0,1,0,0.2951,0.01,0.0,0,0.17815883592180687,4,0
RAN_00187,Ransomware,1,7.8677,50.0,3,6.7395,7.99,3,2,29.2847,1.5362,18.9767,0,1,0,0,62.88,40.8544,23.164,29.1207,44.077,6.5005,3.7511,44.9104,172.7202,1,0,1,1,1,0.0642,0.0938,7.8677,2,0.5157825358936905,6,3
BEN_02860,Benign,0,5.3239,10.0,4,4.7595,6.3485,1,1,43.5525,10.6933,0.7137,1,0,1,0,0.2932,6.6029,0.0,7.7507,16.1905,2.3091,1.2742,77.7286,116.6896,1,0,0,1,0,0.2344,0.0,0.0,0,0.0,1,0
BEN_03044,Benign,0,4.4743,10.0,5,4.8928,6.5,2,2,43.0008,0.0,0.4502,0,0,1,0,0.0,0.5575,12.2775,3.7389,11.8004,0.4468,0.0,10.0,164.9487,0,0,0,0,0,0.05,0.0286,0.0,0,1.22775,4,0
BEN_02706,Benign,0,4.3606,10.0,5,4.0533,6.2944,2,1,61.2636,0.0,0.0,1,0,1,0,0.3483,0.0,0.0,6.7035,8.3754,1.1657,2.2064,63.3381,168.6417,0,0,0,1,0,0.2433,0.0342,0.0,0,0.0,2,0
BEN_02471,Benign,0,4.7302,10.0,6,4.2151,4.9206,1,1,77.0679,0.0,0.0,1,0,0,0,1.2849,2.2561,10.2117,0.0,5.8452,0.13,0.0,39.6576,137.3028,0,0,0,0,0,0.2443,0.0168,0.0,0,0.2574966715081094,1,1
BEN_01704,Benign,0,4.3131,10.0,3,3.7021,5.2807,2,1,143.639,0.0,0.5293,1,0,1,0,0.2338,2.4532,0.0,1.7174,0.0,1.1031,1.7463,26.6621,72.149,0,0,0,1,0,0.1159,0.0,0.0,0,0.0,2,0
BEN_03316,Benign,0,4.5149,10.0,5,4.9271,4.2113,2,1,87.7229,0.0,0.2899,1,0,0,0,0.0,0.0,0.0,5.1755,0.0,1.4794,0.3472,40.2168,149.2667,0,0,0,1,0,0.2197,0.0165,0.0,0,0.0,2,1
BEN_03564,Benign,0,5.8826,10.0,3,3.7985,5.0416,1,2,73.6285,8.3272,0.0,1,0,0,0,0.2905,0.0,4.5139,1.9604,0.0,0.0,0.0,50.305,161.7242,0,0,0,0,0,0.2812,0.0121,0.0,0,0.0897306430772289,2,1
BEN_01175,Benign,0,6.3227,10.0,6,5.0034,5.519,1,2,86.6276,30.5406,0.6631,1,0,1,0,0.5875,0.0,0.0,6.7,5.9054,1.7728,1.685,46.9027,81.2195,0,0,0,0,0,0.2686,0.0288,0.0,0,0.0,2,0
VIR_00061,Virus,4,7.95,5.0,5,5.499,7.1912,3,4,17.6488,2.2835,8.8832,0,1,0,1,49.8078,25.8559,1.7444,13.4521,25.6782,7.1585,1.5077,41.8269,88.9406,0,1,0,0,1,0.0072,0.0196,7.95,2,0.04170521841207452,12,3
BEN_03955,Benign,0,4.1245,10.0,6,4.7063,5.3371,2,0,118.003,11.8558,2.9157,0,0,0,0,0.5762,0.0,2.6152,0.0,13.2039,0.9571,0.0,10.0,155.9305,0,0,0,0,0,0.2241,0.0046,0.0,0,0.26152000000000003,0,1
BEN_01774,Benign,0,3.2498,10.0,4,4.3217,5.0852,1,1,89.6263,2.3869,0.0,1,0,0,0,0.0,0.3758,8.7126,0.0,12.3827,0.8596,0.8638,22.7147,5.0,0,0,0,0,0,0.1272,0.0274,0.0,0,0.3835665890370553,1,1
BEN_02216,Benign,0,3.1971,10.0,4,4.5464,4.035,2,1,90.9992,0.0,2.6216,1,0,1,0,0.0,2.5094,0.0,0.0,3.2769,0.413,0.2958,96.4499,65.3095,0,0,0,0,0,0.1964,0.0093,0.0,0,0.0,2,0
BEN_03847,Benign,0,5.1801,10.0,4,4.7022,5.6041,2,0,61.0918,27.392,0.8736,1,0,1,0,0.09,4.2676,4.2657,13.0192,2.5046,0.5679,0.0,45.5659,90.9704,0,0,0,1,0,0.1795,0.0373,0.0,0,0.09361605937773641,0,0
BEN_00866,Benign,0,3.203,10.0,4,3.8828,5.0505,1,2,53.1914,32.7246,0.298,1,0,1,0,0.0,1.2,6.4944,7.2716,9.9172,0.4589,4.1912,33.9625,94.6311,0,0,0,1,0,0.1414,0.0286,0.0,0,0.19122267206477733,2,0
BEN_03461,Benign,0,5.1876,10.0,5,3.812,4.9344,1,0,36.7282,3.4863,0.8176,1,0,0,0,1.0063,1.213,6.9089,4.2526,15.3562,0.0,0.9032,56.4227,238.5724,0,0,0,1,0,0.1839,0.0095,0.0,0,0.12244894342170794,0,1
BEN_02800,Benign,0,5.3733,10.0,3,5.0906,5.8237,1,0,103.8391,26.669,0.0,0,0,1,0,0.0,2.8208,5.7343,7.1326,0.0,0.0386,0.0,21.0955,84.7513,0,0,0,1,0,0.0555,0.0076,0.0,0,0.2718257448270958,0,0
BEN_01427,Benign,0,3.5995,10.0,5,5.0124,5.0684,2,1,53.1424,18.3086,0.0,1,0,1,0,0.0,2.5727,0.0,8.9294,0.0,1.9086,2.7027,41.1854,53.9487,0,0,1,0,0,0.2936,0.0,0.0,1,0.0,2,0
BEN_00474,Benign,0,5.4818,10.0,3,3.1241,6.5,2,2,45.3588,2.8317,0.6369,1,0,1,0,0.0,1.6178,4.9425,0.0,6.1549,0.0,0.0,14.5628,152.4857,0,0,0,0,0,0.2064,0.0353,0.0,0,0.3393921498612904,4,0
VIR_00126,Virus,4,7.95,5.0,9,6.313,7.0713,4,3,51.3533,0.0,4.0,0,1,0,0,41.264,23.3188,1.6149,19.5889,27.4944,0.3202,0.3155,58.8443,40.9675,0,0,0,0,1,0.0297,0.0744,7.95,1,0.02744360966142855,12,3
BEN_01942,Benign,0,5.7329,10.0,6,4.4842,4.4614,2,1,38.7751,35.1958,0.5636,1,0,1,0,0.3653,1.4543,0.4428,5.9094,5.1431,0.4819,3.4759,58.3438,29.4373,0,0,0,0,0,0.1157,0.0,0.0,0,0.007589495370544943,2,0
BEN_01200,Benign,0,4.1975,10.0,4,5.2579,5.0906,1,0,60.0183,4.9801,0.0,1,0,1,0,0.5199,0.0,11.2336,11.8331,0.7268,0.0,1.1776,47.2488,191.194,0,0,0,0,0,0.2525,0.0018,0.0,0,0.23775418634970621,0,0
BEN_02418,Benign,0,4.8494,10.0,6,4.6703,4.9125,2,0,9.0421,3.1603,0.0,1,0,0,0,1.2913,0.8772,1.8849,3.4829,0.0,0.4889,0.0,59.3361,23.6134,0,0,0,0,1,0.17,0.0161,0.0,1,0.031766496281353175,0,1
BEN_00735,Benign,0,5.4811,10.0,5,2.9634,4.4237,2,1,118.9556,8.2334,0.0,1,0,1,0,0.192,0.7762,7.7553,10.992,0.0,1.143,1.0419,22.2214,190.4171,0,0,0,0,0,0.1734,0.0118,0.0,0,0.34900141305228294,2,0
